,ASVs,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomy
ASV_614,ASV_614,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleraceae,g__Genolevuria,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria;NA
ASV_615,ASV_615,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Schizoporaceae,g__Lyomyces,NA,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Lyomyces;NA
ASV_616,ASV_616,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothioraceae,g__Perusta,s__inaequalis,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Perusta;s__inaequalis
ASV_617,ASV_617,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Sigarispora,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Sigarispora;NA
ASV_618,ASV_618,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Neoleptosphaeria,s__jonesii,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Neoleptosphaeria;s__jonesii
ASV_619,ASV_619,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae,g__Trametes,s__versicolor,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__versicolor
ASV_620,ASV_620,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;NA;NA;NA
ASV_621,ASV_621,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryomycetes_ord_Incertae_sedis,f__Microbotryomycetes_fam_Incertae_sedis,g__Curvibasidium,s__pallidicorallinum,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Microbotryomycetes_fam_Incertae_sedis;g__Curvibasidium;s__pallidicorallinum
ASV_622,ASV_622,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,k__Fungi;p__Ascomycota;NA;NA;NA;NA;NA
ASV_623,ASV_623,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Uredinophila,NA,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Uredinophila;NA
ASV_624,ASV_624,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_625,ASV_625,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Neoascochyta,s__desmazieri,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__desmazieri
ASV_626,ASV_626,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ASV_627,ASV_627,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,NA,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;NA
